! For mls data, pressure and obs errors are pulled from bufr, so not listed here
! sens/instr/sat lev  use pressure gross   obs    b_oz  pg_oz
!                                  error  error variational qc
 sbuv8_n17       19    1  398.000  1.628  1.667 10.000  0.000
 sbuv8_n17       20    1  631.000  1.169  1.567 10.000  0.000
 sbuv8_n17       21    1 1000.000  0.820  1.408 10.000  0.000
 sbuv8_n17       22   -1    0.000 12.000  6.000 10.000  0.000
 sbuv8_n18        1   -1    0.100  1.000  1.000 10.000  0.000
 sbuv8_n18        2   -1    0.158  1.000  1.000 10.000  0.000
 sbuv8_n18        3   -1    0.251  1.000  1.000 10.000  0.000
 sbuv8_n18        4   -1    0.398  1.000  1.000 10.000  0.000
 sbuv8_n18        5   -1    0.631  1.000  1.000 10.000  0.000
 sbuv8_n18        6    1    1.000  1.000  1.000 10.000  0.000
 sbuv8_n18        7    1    1.580  1.000  1.000 10.000  0.000
 sbuv8_n18        8    1    2.510  1.282  1.000 10.000  0.000
 sbuv8_n18        9    1    3.980  2.051  1.021 10.000  0.000
 sbuv8_n18       10    1    6.310  2.641  1.265 10.000  0.000
 sbuv8_n18       11    1   10.000  3.590  1.358 10.000  0.000
 sbuv8_n18       12    1   15.800  5.052  1.225 10.000  0.000
 sbuv8_n18       13    1   25.100  6.273  1.225 10.000  0.000
 sbuv8_n18       14    1   39.800  7.000  1.423 10.000  0.000
 sbuv8_n18       15    1   63.100  6.940  1.871 10.000  0.000
 sbuv8_n18       16    1  100.000  5.752  1.871 10.000  0.000
 sbuv8_n18       17    1  158.000  4.422  1.831 10.000  0.000
 sbuv8_n18       18    1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n18       19    1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n18       20    1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n18       21    1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n18       22   -1    0.000 12.000  6.000 10.000  0.000
 sbuv8_n19        1   -1    0.100  1.000  1.000 10.000  0.000
 sbuv8_n19        2   -1    0.158  1.000  1.000 10.000  0.000
 sbuv8_n19        3   -1    0.251  1.000  1.000 10.000  0.000
 sbuv8_n19        4   -1    0.398  1.000  1.000 10.000  0.000
 sbuv8_n19        5   -1    0.631  1.000  1.000 10.000  0.000
 sbuv8_n19        6    1    1.000  1.000  1.000 10.000  0.000
 sbuv8_n19        7    1    1.580  1.000  1.000 10.000  0.000
 sbuv8_n19        8    1    2.510  1.282  1.000 10.000  0.000
 sbuv8_n19        9    1    3.980  2.051  1.021 10.000  0.000
 sbuv8_n19       10    1    6.310  2.641  1.265 10.000  0.000
 sbuv8_n19       11    1   10.000  3.590  1.358 10.000  0.000
 sbuv8_n19       12    1   15.800  5.052  1.225 10.000  0.000
 sbuv8_n19       13    1   25.100  6.273  1.225 10.000  0.000
 sbuv8_n19       14    1   39.800  7.000  1.423 10.000  0.000
 sbuv8_n19       15    1   63.100  6.940  1.871 10.000  0.000
 sbuv8_n19       16    1  100.000  5.752  1.871 10.000  0.000
 sbuv8_n19       17    1  158.000  4.422  1.831 10.000  0.000
 sbuv8_n19       18    1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n19       19    1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n19       20    1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n19       21    1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n19       22   -1    0.000 12.000  6.000 10.000  0.000
 sbuv8_nim07      1    1    0.100  1.000  1.000 10.000  0.000
 sbuv8_nim07      2    1    0.158  1.000  1.000 10.000  0.000
 sbuv8_nim07      3    1    0.251  1.000  1.000 10.000  0.000
 sbuv8_nim07      4    1    0.398  1.000  1.000 10.000  0.000
 sbuv8_nim07      5    1    0.631  1.000  1.000 10.000  0.000
 sbuv8_nim07      6    1    1.000  1.000  1.000 10.000  0.000
 sbuv8_nim07      7    1    1.580  1.000  1.000 10.000  0.000
 sbuv8_nim07      8    1    2.510  1.282  1.000 10.000  0.000
 sbuv8_nim07      9    1    3.980  2.051  1.021 10.000  0.000
 sbuv8_nim07     10    1    6.310  2.641  1.265 10.000  0.000
 sbuv8_nim07     11    1   10.000  3.590  1.358 10.000  0.000
 sbuv8_nim07     12    1   15.800  5.052  1.225 10.000  0.000
 sbuv8_nim07     13    1   25.100  6.273  1.225 10.000  0.000
 sbuv8_nim07     14    1   39.800  7.000  1.423 10.000  0.000
 sbuv8_nim07     15    1   63.100  6.940  1.871 10.000  0.000
 sbuv8_nim07     16    1  100.000  5.752  1.871 10.000  0.000
 sbuv8_nim07     17    1  158.000  4.422  1.831 10.000  0.000
 sbuv8_nim07     18    1  251.000  3.000  1.730 10.000  0.000
 sbuv8_nim07     19    1  398.000  3.000  1.667 10.000  0.000
 sbuv8_nim07     20    1  631.000  3.000  1.567 10.000  0.000
 sbuv8_nim07     21    1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_nim07     22   -1    0.000 12.000  6.000 10.000  0.000
 ompsnp_npp       1   -1    0.100  1.000  0.011 10.000  0.000
 ompsnp_npp       2   -1    0.158  1.000  0.007 10.000  0.000
 ompsnp_npp       3   -1    0.251  1.000  0.008 10.000  0.000
 ompsnp_npp       4   -1    0.398  1.000  0.021 10.000  0.000
 ompsnp_npp       5   -1    0.631  1.000  0.049 10.000  0.000
 ompsnp_npp       6    1    1.000  1.000  0.059 10.000  0.000
 ompsnp_npp       7    1    1.580  1.000  0.073 10.000  0.000
 ompsnp_npp       8    1    2.510  1.282  0.116 10.000  0.000
 ompsnp_npp       9    1    3.980  2.051  0.113 10.000  0.000
 ompsnp_npp      10    1    6.310  2.641  0.280 10.000  0.000
 ompsnp_npp      11    1   10.000  3.590  0.530 10.000  0.000
 ompsnp_npp      12    1   15.800  5.052  1.081 10.000  0.000
 ompsnp_npp      13    1   25.100  6.273  2.040 10.000  0.000
 ompsnp_npp      14    1   39.800  7.000  3.606 10.000  0.000
 ompsnp_npp      15    1   63.100  6.940  3.449 10.000  0.000
 ompsnp_npp      16    1  100.000  5.752  3.869 10.000  0.000
 ompsnp_npp      17    1  158.000  6.000  5.149 10.000  0.000
 ompsnp_npp      18    1  251.000  4.000  3.774 10.000  0.000
 ompsnp_npp      19    1  398.000  3.000  2.704 10.000  0.000
 ompsnp_npp      20    1  631.000  3.000  1.229 10.000  0.000
 ompsnp_npp      21    1 1000.000  3.000  0.762 10.000  0.000
 ompsnp_npp      22   -1    0.000 12.000  6.000 10.000  0.000
 ompsnpnc_npp     1    1    0.100  1.000  0.011 10.000  0.000
 ompsnpnc_npp     2    1    0.158  1.000  0.007 10.000  0.000
 ompsnpnc_npp     3    1    0.251  1.000  0.008 10.000  0.000
 ompsnpnc_npp     4    1    0.398  1.000  0.021 10.000  0.000
 ompsnpnc_npp     5    1    0.631  1.000  0.049 10.000  0.000
 ompsnpnc_npp     6    1    1.000  1.000  0.059 10.000  0.000
 ompsnpnc_npp     7    1    1.580  1.000  0.073 10.000  0.000
 ompsnpnc_npp     8    1    2.510  1.282  0.116 10.000  0.000
 ompsnpnc_npp     9    1    3.980  2.051  0.113 10.000  0.000
 ompsnpnc_npp    10    1    6.310  2.641  0.280 10.000  0.000
 ompsnpnc_npp    11    1   10.000  3.590  0.530 10.000  0.000
 ompsnpnc_npp    12    1   15.800  5.052  1.081 10.000  0.000
 ompsnpnc_npp    13    1   25.100  6.273  2.040 10.000  0.000
 ompsnpnc_npp    14    1   39.800  7.000  3.606 10.000  0.000
 ompsnpnc_npp    15    1   63.100  6.940  3.449 10.000  0.000
 ompsnpnc_npp    16    1  100.000  5.752  3.869 10.000  0.000
 ompsnpnc_npp    17    1  158.000  6.000  5.149 10.000  0.000
 ompsnpnc_npp    18    1  251.000  4.000  3.774 10.000  0.000
 ompsnpnc_npp    19    1  398.000  3.000  2.704 10.000  0.000
 ompsnpnc_npp    20    1  631.000  3.000  1.229 10.000  0.000
 ompsnpnc_npp    21    1 1000.000  3.000  0.762 10.000  0.000
 ompsnpnc_npp    22   -1    0.000 12.000  6.000 10.000  0.000
 omi_aura         1   -1    0.000  6.000  5.000 10.000  0.000
 omieff_aura      1    1    0.000  6.000  5.000 10.000  0.000
 tomseff_nim07    1    1    0.000 10.000  8.000 10.000  0.000
 tomseff_ep       1    1    0.000 10.000  8.000 10.000  0.000
 gome_metop-a     1   -1    0.000 12.000  2.236 10.000  0.000
 gome_metop-b     1   -1    0.000 12.000  2.236 10.000  0.000
 ompsnm_npp       1    1    0.000  6.000  5.216 10.000  0.000
 ompsnmeff_npp    1    1    0.000  6.000  5.216 10.000  0.000
